Bnccindx,Calculation1,Category,Date
51.9,Economic Mood Index,British Columbia,10/16/2020
53.77,Economic Mood Index,British Columbia,10/23/2020
55.12,Economic Mood Index,British Columbia,10/30/2020
55.03,Economic Mood Index,British Columbia,11/6/2020
55.01,Economic Mood Index,British Columbia,11/13/2020
56.83,Economic Mood Index,British Columbia,11/20/2020
56.57,Economic Mood Index,British Columbia,11/27/2020
57.68,Economic Mood Index,British Columbia,12/4/2020
57.13,Economic Mood Index,British Columbia,12/11/2020
51.9069,Economic Mood Index,Canada,6/30/2008
52.4534,Economic Mood Index,Canada,9/30/2008
43.2784,Economic Mood Index,Canada,12/31/2008
44.2835,Economic Mood Index,Canada,3/31/2009
53.1708,Economic Mood Index,Canada,6/30/2009
58.7521,Economic Mood Index,Canada,9/30/2009
62.9191,Economic Mood Index,Canada,12/31/2009
61.2533,Economic Mood Index,Canada,3/31/2010
60.2358,Economic Mood Index,Canada,6/30/2010
57.7774,Economic Mood Index,Canada,9/30/2010
57.2604,Economic Mood Index,Canada,12/31/2010
60.0324,Economic Mood Index,Canada,3/31/2011
58.6386,Economic Mood Index,Canada,6/30/2011
54.5545,Economic Mood Index,Canada,9/30/2011
55.7506,Economic Mood Index,Canada,12/31/2011
54.2845,Economic Mood Index,Canada,2/28/2012
55.9775,Economic Mood Index,Canada,3/31/2012
55.0927,Economic Mood Index,Canada,4/30/2012
55.2252,Economic Mood Index,Canada,5/31/2012
52.9488,Economic Mood Index,Canada,6/30/2012
51.9917,Economic Mood Index,Canada,7/31/2012
52.565,Economic Mood Index,Canada,8/31/2012
53.6451,Economic Mood Index,Canada,9/30/2012
53.2531,Economic Mood Index,Canada,10/31/2012
52.4006,Economic Mood Index,Canada,11/30/2012
52.9085,Economic Mood Index,Canada,12/31/2012
53.8629,Economic Mood Index,Canada,1/31/2013
51.4097,Economic Mood Index,Canada,2/28/2013
50.1906,Economic Mood Index,Canada,3/31/2013
50.2959,Economic Mood Index,Canada,4/30/2013
53.3918,Economic Mood Index,Canada,5/24/2013
