date_recovered,province,cumulative_recovered
09-10-2020,BC,8502.0
08-10-2020,BC,8398.0
07-10-2020,BC,8296.0
06-10-2020,BC,8184.0
05-10-2020,BC,8115.0
04-10-2020,BC,7813.0
03-10-2020,BC,7813.0
02-10-2020,BC,7813.0
01-10-2020,BC,7695.0
30-09-2020,BC,7591.0
29-09-2020,BC,7485.0
28-09-2020,BC,7346.0
27-09-2020,BC,7036.0
26-09-2020,BC,7036.0
25-09-2020,BC,7036.0
24-09-2020,BC,6917.0
23-09-2020,BC,6769.0
22-09-2020,BC,6589.0
21-09-2020,BC,5972.0
20-09-2020,BC,5797.0
19-09-2020,BC,5797.0
18-09-2020,BC,5797.0
17-09-2020,BC,5719.0
16-09-2020,BC,5646.0
15-09-2020,BC,5548.0
14-09-2020,BC,5446.0
13-09-2020,BC,5273.0
12-09-2020,BC,5273.0
11-09-2020,BC,5273.0
10-09-2020,BC,5190.0
09-09-2020,BC,5086.0
08-09-2020,BC,4978.0
07-09-2020,BC,4706.0
06-09-2020,BC,4706.0
05-09-2020,BC,4706.0
04-09-2020,BC,4706.0
03-09-2020,BC,4644.0
02-09-2020,BC,4605.0
01-09-2020,BC,4505.0
31-08-2020,BC,4406.0
30-08-2020,BC,4310.0
29-08-2020,BC,4310.0
28-08-2020,BC,4310.0
27-08-2020,BC,4253.0
26-08-2020,BC,4199.0
25-08-2020,BC,4114.0
24-08-2020,BC,4068.0
23-08-2020,BC,3889.0
22-08-2020,BC,3889.0
21-08-2020,BC,3889.0
20-08-2020,BC,3845.0
19-08-2020,BC,3749.0
18-08-2020,BC,3704.0
17-08-2020,BC,3653.0
16-08-2020,BC,3533.0
15-08-2020,BC,3533.0
14-08-2020,BC,3533.0
13-08-2020,BC,3500.0
12-08-2020,BC,3469.0
11-08-2020,BC,3444.0
10-08-2020,BC,3425.0
09-08-2020,BC,3353.0
08-08-2020,BC,3353.0
07-08-2020,BC,3353.0
06-08-2020,BC,3315.0
05-08-2020,BC,3288.0
04-08-2020,BC,3273.0
03-08-2020,BC,3168.0
02-08-2020,BC,3168.0
01-08-2020,BC,3168.0
31-07-2020,BC,3168.0
30-07-2020,BC,3155.0
29-07-2020,BC,3109.0
28-07-2020,BC,3076.0
27-07-2020,BC,3043.0
26-07-2020,BC,2934.0
25-07-2020,BC,2934.0
24-07-2020,BC,2934.0
23-07-2020,BC,2898.0
22-07-2020,BC,2888.0
21-07-2020,BC,2873.0
20-07-2020,BC,2858.0
19-07-2020,BC,2802.0
18-07-2020,BC,2802.0
17-07-2020,BC,2802.0
16-07-2020,BC,2789.0
15-07-2020,BC,2753.0
14-07-2020,BC,2730.0
13-07-2020,BC,2718.0
12-07-2020,BC,2679.0
11-07-2020,BC,2679.0
10-07-2020,BC,2679.0
09-07-2020,BC,2667.0
08-07-2020,BC,2660.0
07-07-2020,BC,2645.0
06-07-2020,BC,2629.0
05-07-2020,BC,2608.0
04-07-2020,BC,2608.0
03-07-2020,BC,2608.0
02-07-2020,BC,2603.0
01-07-2020,BC,2590.0
30-06-2020,BC,2590.0
29-06-2020,BC,2577.0
28-06-2020,BC,2545.0
27-06-2020,BC,2545.0
26-06-2020,BC,2545.0
25-06-2020,BC,2517.0
24-06-2020,BC,2516.0
23-06-2020,BC,2491.0
22-06-2020,BC,2471.0
21-06-2020,BC,2444.0
20-06-2020,BC,2444.0
19-06-2020,BC,2444.0
18-06-2020,BC,2425.0
17-06-2020,BC,2422.0
16-06-2020,BC,2416.0
15-06-2020,BC,2395.0
14-06-2020,BC,2354.0
13-06-2020,BC,2354.0
12-06-2020,BC,2354.0
11-06-2020,BC,2344.0
10-06-2020,BC,2328.0
09-06-2020,BC,2319.0
08-06-2020,BC,2309.0
07-06-2020,BC,2272.0
06-06-2020,BC,2272.0
05-06-2020,BC,2272.0
04-06-2020,BC,2265.0
03-06-2020,BC,2243.0
02-06-2020,BC,2229.0
01-06-2020,BC,2207.0
31-05-2020,BC,2181.0
30-05-2020,BC,2181.0
29-05-2020,BC,2170.0
28-05-2020,BC,2153.0
27-05-2020,BC,2144.0
26-05-2020,BC,2122.0
25-05-2020,BC,2102.0
24-05-2020,BC,2057.0
23-05-2020,BC,2057.0
22-05-2020,BC,2042.0
21-05-2020,BC,2020.0
20-05-2020,BC,2001.0
19-05-2020,BC,1975.0
18-05-2020,BC,1966.0
17-05-2020,BC,1932.0
16-05-2020,BC,1932.0
15-05-2020,BC,1908.0
14-05-2020,BC,1885.0
13-05-2020,BC,1859.0
12-05-2020,BC,1832.0
11-05-2020,BC,1719.0
10-05-2020,BC,1659.0
09-05-2020,BC,1659.0
08-05-2020,BC,1579.0
07-05-2020,BC,1512.0
06-05-2020,BC,1494.0
05-05-2020,BC,1472.0
04-05-2020,BC,1417.0
03-05-2020,BC,1376.0
02-05-2020,BC,1376.0
01-05-2020,BC,1357.0
30-04-2020,BC,1322.0
29-04-2020,BC,1305.0
